date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:14:56	561/561	---MCZ	200	added ('OK')	text/plain	etag:W/%22cacheable:94dd0b74546796b50c1f2470bbfe1dad%22	https://61c070-6d.myshopify.com/robots.txt		(from )
00:15:07	13479687/13479687	---MCZ	200	added ('OK')	text/html	etag:W/%22cacheable:be0476249c7bd29f35ed88c85198e5d8%22	https://61c070-6d.myshopify.com/products/smart-tv-led-32-hd-samsung-ls32betblggxzd-2-hdmi-1-usb-preto	C:/Users/User/Desktop/pg%20produto%20ml/pg%20ml/61c070-6d.myshopify.com/products/smart-tv-led-32-hd-samsung-ls32betblggxzd-2-hdmi-1-usb-preto.html	(from )
00:15:09	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2023%20Sep%202024%2003:15:09%20GMT	http://61c070-6d.myshopify.com/cdn/shop/t/6/assets/favicon.png?v=145227305158328575881727060312	C:/Users/User/Desktop/pg%20produto%20ml/pg%20ml/61c070-6d.myshopify.com/cdn/shop/t/6/assets/favicon.1fd35.delayed	(from https://61c070-6d.myshopify.com/products/smart-tv-led-32-hd-samsung-ls32betblggxzd-2-hdmi-1-usb-preto)
00:15:09	24118/24118	---M--	200	added ('OK')	image/png	date:Mon,%2023%20Sep%202024%2003:15:09%20GMT	https://61c070-6d.myshopify.com/cdn/shop/t/6/assets/favicon.png?v=145227305158328575881727060312	C:/Users/User/Desktop/pg%20produto%20ml/pg%20ml/61c070-6d.myshopify.com/cdn/shop/t/6/assets/faviconfd35.png	(from https://61c070-6d.myshopify.com/products/smart-tv-led-32-hd-samsung-ls32betblggxzd-2-hdmi-1-usb-preto)
00:15:09	61061/61061	---M-Z	200	added ('OK')	application/javascript	etag:W/%22ee85-zxOu6QS7pek93GMwnU4P2iFfd/Y%22	https://cdn.jsdelivr.net/npm/jsbarcode@3.11.0/dist/JsBarcode.all.min.js	C:/Users/User/Desktop/pg%20produto%20ml/pg%20ml/cdn.jsdelivr.net/npm/jsbarcode@3.11.0/dist/JsBarcode.all.min.js	(from https://61c070-6d.myshopify.com/products/smart-tv-led-32-hd-samsung-ls32betblggxzd-2-hdmi-1-usb-preto)
00:15:10	105/105	---M--	301	error ('Moved%20Permanently')	text/plain	date:Mon,%2023%20Sep%202024%2003:15:10%20GMT	https://cdn.rawgit.com/davidshimjs/qrcodejs/gh-pages/qrcode.min.js	C:/Users/User/Desktop/pg%20produto%20ml/pg%20ml/cdn.rawgit.com/davidshimjs/qrcodejs/gh-pages/qrcode.min.4.delayed	(from https://61c070-6d.myshopify.com/products/smart-tv-led-32-hd-samsung-ls32betblggxzd-2-hdmi-1-usb-preto)
00:15:10	19927/19927	---M-Z	200	added ('OK')	application/javascript	etag:W/%224dd7-LQbB+CPzTBmYHGrgsOsPWGHF4Us%22	https://cdn.jsdelivr.net/gh/davidshimjs/qrcodejs@gh-pages/qrcode.min.js	C:/Users/User/Desktop/pg%20produto%20ml/pg%20ml/cdn.jsdelivr.net/gh/davidshimjs/qrcodejs@gh-pages/qrcode.min.js	(from https://61c070-6d.myshopify.com/products/smart-tv-led-32-hd-samsung-ls32betblggxzd-2-hdmi-1-usb-preto)
00:15:10	89795/89795	---M-Z	200	added ('OK')	application/javascript	etag:W/%2228feccc0-15ec3%22	https://code.jquery.com/jquery-3.6.4.min.js	C:/Users/User/Desktop/pg%20produto%20ml/pg%20ml/code.jquery.com/jquery-3.6.4.min.js	(from https://61c070-6d.myshopify.com/products/smart-tv-led-32-hd-samsung-ls32betblggxzd-2-hdmi-1-usb-preto)
00:15:12	59344/59344	---M-Z	200	added ('OK')	text/css	etag:%225f7b5b5f-e7d0%22	https://cdnjs.cloudflare.com/ajax/libs/font-awesome/5.15.1/css/all.min.css	C:/Users/User/Desktop/pg%20produto%20ml/pg%20ml/cdnjs.cloudflare.com/ajax/libs/font-awesome/5.15.1/css/all.min.css	(from https://61c070-6d.myshopify.com/products/smart-tv-led-32-hd-samsung-ls32betblggxzd-2-hdmi-1-usb-preto)
00:15:12	89501/89501	---M-Z	200	added ('OK')	application/javascript	etag:W/%2228feccc0-15d9d%22	https://code.jquery.com/jquery-3.6.0.min.js	C:/Users/User/Desktop/pg%20produto%20ml/pg%20ml/code.jquery.com/jquery-3.6.0.min.js	(from https://61c070-6d.myshopify.com/products/smart-tv-led-32-hd-samsung-ls32betblggxzd-2-hdmi-1-usb-preto)
00:15:12	1776/1776	---M-Z	200	added ('OK')	text/css	etag:W/%226f0-qUoFmzF4tK3sCeMoGs4oGaMAlaQ%22	https://cdn.jsdelivr.net/npm/slick-carousel@1.8.1/slick/slick.css	C:/Users/User/Desktop/pg%20produto%20ml/pg%20ml/cdn.jsdelivr.net/npm/slick-carousel@1.8.1/slick/slick.css	(from https://61c070-6d.myshopify.com/products/smart-tv-led-32-hd-samsung-ls32betblggxzd-2-hdmi-1-usb-preto)
00:15:14	207202/207202	---MCZ	404	error ('Not%20Found')	text/html	etag:W/%22cacheable:722cb72d2d2aed3f955a481390c7fe9a%22	https://61c070-6d.myshopify.com/products/POST	C:/Users/User/Desktop/pg%20produto%20ml/pg%20ml/61c070-6d.myshopify.com/products/POST	(from https://61c070-6d.myshopify.com/products/smart-tv-led-32-hd-samsung-ls32betblggxzd-2-hdmi-1-usb-preto)
00:15:15	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2023%20Sep%202024%2003:15:15%20GMT	http://61c070-6d.myshopify.com/cdn/s/trekkie.storefront.2092f3f723f671a22523930609e26fd627b350ba.min.js	C:/Users/User/Desktop/pg%20produto%20ml/pg%20ml/61c070-6d.myshopify.com/cdn/s/trekkie.storefront.2092f3f723f671a22523930609e26fd627b350ba.min.b.delayed	(from https://61c070-6d.myshopify.com/products/smart-tv-led-32-hd-samsung-ls32betblggxzd-2-hdmi-1-usb-preto)
00:15:15	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2023%20Sep%202024%2003:15:15%20GMT	http://61c070-6d.myshopify.com/cdn/shopifycloud/shopify/assets/shop_events_listener-61fa9e0a912c675e178777d2b27f6cbd482f8912a6b0aa31fa3515985a8cd626.js	C:/Users/User/Desktop/pg%20produto%20ml/pg%20ml/61c070-6d.myshopify.com/cdn/shopifycloud/shopify/assets/shop_events_listener-61fa9e0a912c675e178777d2b27f6cbd482f8912a6b0aa31fa3515985a8cd626.js	(from https://61c070-6d.myshopify.com/products/smart-tv-led-32-hd-samsung-ls32betblggxzd-2-hdmi-1-usb-preto)
00:15:15	116765/116765	---MCZ	200	added ('OK')	text/javascript	date:Wed,%2018%20Sep%202024%2015:40:10%20GMT	https://61c070-6d.myshopify.com/cdn/s/trekkie.storefront.2092f3f723f671a22523930609e26fd627b350ba.min.js	C:/Users/User/Desktop/pg%20produto%20ml/pg%20ml/61c070-6d.myshopify.com/cdn/s/trekkie.storefront.2092f3f723f671a22523930609e26fd627b350ba.min.js	(from https://61c070-6d.myshopify.com/products/smart-tv-led-32-hd-samsung-ls32betblggxzd-2-hdmi-1-usb-preto)
00:15:16	8298/8298	---MCZ	200	added ('OK')	text/javascript	date:Tue,%2014%20May%202024%2000:13:02%20GMT	https://61c070-6d.myshopify.com/cdn/shopifycloud/shopify/assets/shop_events_listener-61fa9e0a912c675e178777d2b27f6cbd482f8912a6b0aa31fa3515985a8cd626.js	C:/Users/User/Desktop/pg%20produto%20ml/pg%20ml/61c070-6d.myshopify.com/cdn/shopifycloud/shopify/assets/shop_events_listener-61fa9e0a912c675e178777d2b27f6cbd482f8912a6b0aa31fa3515985a8cd626.js	(from https://61c070-6d.myshopify.com/products/smart-tv-led-32-hd-samsung-ls32betblggxzd-2-hdmi-1-usb-preto)
00:15:17	62653/62653	---MCZ	200	added ('OK')	text/javascript	date:Mon,%2013%20May%202024%2020:25:36%20GMT	https://61c070-6d.myshopify.com/cdn/shopifycloud/boomerang/shopify-boomerang-1.0.0.min.js	C:/Users/User/Desktop/pg%20produto%20ml/pg%20ml/61c070-6d.myshopify.com/cdn/shopifycloud/boomerang/shopify-boomerang-1.0.0.min.js	(from https://61c070-6d.myshopify.com/products/smart-tv-led-32-hd-samsung-ls32betblggxzd-2-hdmi-1-usb-preto)
00:15:17	18762/18762	---MCZ	200	added ('OK')	text/javascript	date:Wed,%2028%20Aug%202024%2017:30:06%20GMT	https://61c070-6d.myshopify.com/cdn/shopifycloud/perf-kit/shopify-perf-kit-1.0.0.min.js	C:/Users/User/Desktop/pg%20produto%20ml/pg%20ml/61c070-6d.myshopify.com/cdn/shopifycloud/perf-kit/shopify-perf-kit-1.0.0.min.js	(from https://61c070-6d.myshopify.com/products/smart-tv-led-32-hd-samsung-ls32betblggxzd-2-hdmi-1-usb-preto)
00:15:17	42863/42863	---M-Z	200	added ('OK')	application/javascript	etag:W/%22a76f-O0GzvJVmhQFaNHoiOOcdsp36Dbs%22	https://cdn.jsdelivr.net/npm/slick-carousel@1.8.1/slick/slick.min.js	C:/Users/User/Desktop/pg%20produto%20ml/pg%20ml/cdn.jsdelivr.net/npm/slick-carousel@1.8.1/slick/slick.min.js	(from https://61c070-6d.myshopify.com/products/smart-tv-led-32-hd-samsung-ls32betblggxzd-2-hdmi-1-usb-preto)
00:15:19	207202/207202	---MCZ	404	error ('Not%20Found')	text/html	etag:W/%22cacheable:722cb72d2d2aed3f955a481390c7fe9a%22	https://61c070-6d.myshopify.com/products/%22https://www.google-analytics.com%22/&gt;&lt;link	C:/Users/User/Desktop/pg%20produto%20ml/pg%20ml/61c070-6d.myshopify.com/products/_https_/www.google-analytics.com_/&gt;&lt;link	(from https://61c070-6d.myshopify.com/products/smart-tv-led-32-hd-samsung-ls32betblggxzd-2-hdmi-1-usb-preto)
00:15:20	207202/207202	---MCZ	404	error ('Not%20Found')	text/html	etag:W/%22cacheable:722cb72d2d2aed3f955a481390c7fe9a%22	https://61c070-6d.myshopify.com/products/%22https://www.google.com%22/&gt;&lt;link	C:/Users/User/Desktop/pg%20produto%20ml/pg%20ml/61c070-6d.myshopify.com/products/_https_/www.google.com_/&gt;&lt;link	(from https://61c070-6d.myshopify.com/products/smart-tv-led-32-hd-samsung-ls32betblggxzd-2-hdmi-1-usb-preto)
